statistic,observed,replicated_mean,replicated_q05,replicated_q95,bayesian_p_upper
mean,17.73506914085672,17.73405058681402,17.302565060429274,18.170982355901064,0.5041666666666667
sd,6.643555095223785,6.673673695943891,6.280232852901279,7.062318729439508,0.5541666666666667
minimum,4.1085277168348275,4.0024675892800765,1.5991393034037757,6.002535365215359,0.5066666666666667
maximum,30.4356698628435,31.867051132212673,29.96289066613137,34.25157842362292,0.8775
row_coverage_90,0.93048128342246,0.9,,,
row_coverage_95,0.9786096256684492,0.95,,,
negative_sqrt_prediction_fraction,0.0,4.45632798573975e-05,,,
