year,block,treatment,timing,sqrt_audpc,posterior_predictive_mean,posterior_predictive_median,pi90_low,pi90_high,pi95_low,pi95_high,covered_90,covered_95
2017,I,Curzate,Early,11.135079703351925,11.929425917299906,11.932673869053236,7.412171752105413,16.23797543581832,6.784840637221471,16.99240748000221,True,True
2017,II,Curzate,Early,10.743835441777764,11.975925395075645,11.975506206209559,7.60989262871369,16.595808585229484,6.726806228823819,17.380506593727617,True,True
2017,III,Curzate,Early,15.358710883404244,13.169270499683714,13.168397214016863,8.839694235964375,17.456635065905065,8.191443303202458,18.148823588308076,True,True
2017,IV,Curzate,Early,8.0156097709407,10.809054649732856,10.669822051666689,6.637778361204759,15.19039777930954,5.934107522319814,16.18649382380814,True,True
2017,V,Curzate,Early,11.904620951546505,12.02383961214755,11.965915135411702,7.62000246870976,16.259620577308603,6.984972563066788,17.44571070170374,True,True
2017,I,FungiPhi,Early,9.534673565466203,13.917271938782175,14.042513304702041,9.709539112440227,17.908121106849034,8.998617197152322,18.569988450294616,False,True
2017,II,FungiPhi,Early,16.119243158411624,13.80304140491362,13.895887665986116,9.644618999659794,17.91941408354959,8.880716123925799,18.67577063765522,True,True
2017,III,FungiPhi,Early,15.890248582070704,15.002506240945507,14.970122809924874,10.989808117271489,19.39874057918965,9.8922255698389,20.198972635801155,True,True
2017,IV,FungiPhi,Early,10.435037134576953,12.65383432913743,12.662377065870022,8.398994328867113,16.97265598643675,7.793919957673515,17.763366394413612,True,True
2017,V,FungiPhi,Early,9.879271228182775,13.703172522424186,13.782115881261603,9.302463134036582,17.946766231169935,8.280724434778703,18.92906964080214,True,True
2017,I,Curzate,Late,15.137370973851436,13.41784826482358,13.441795595858412,9.191794329921443,17.686790307094867,8.39103297398604,18.396030764036716,True,True
2017,III,Curzate,Late,18.9356806056714,14.471506089200174,14.5355972317573,10.262224022659137,18.54523459830745,9.608359655724067,19.273094522650858,False,True
2017,IV,Curzate,Late,11.955333537798099,12.155270792880422,12.176432648232977,8.012398022998509,16.481357441304663,7.268491344874644,17.30093750456394,True,True
2017,II,FungiPhi,Late,12.05487453273571,15.39643056616932,15.459279503725885,11.213205075617314,19.307195157641534,10.355259052350743,19.9105609911455,True,True
2017,III,FungiPhi,Late,17.535392781457734,16.294329191559456,16.374991803281873,12.029574966800714,20.781295620419947,11.050840160004377,21.607318669937705,True,True
2017,IV,FungiPhi,Late,12.088837826689545,13.941067681019012,14.011839369571538,9.525794695440904,18.19389030983216,8.776943917703399,19.032880001125086,True,True
2017,V,FungiPhi,Late,14.664242223858688,15.116463825220029,15.252439438798534,10.67041306302107,19.413750124471186,9.888613723189573,20.181112862817745,True,True
2017,I,Revus,Late,11.165572085656875,13.379589311945145,13.393802152981833,8.772521068749795,17.778078531457368,8.145091976935062,18.609580315968497,True,True
2017,II,Revus,Late,12.135073135337915,13.332664423707733,13.419452400651066,9.02096310961608,17.45571878389061,8.376786522959385,18.282078024846353,True,True
2017,III,Revus,Late,11.21918000568669,14.484054894566746,14.506358803374582,10.200859409829887,18.883250348123156,9.296233738071754,19.75554616289044,True,True
2017,IV,Revus,Late,14.284257068535275,12.039040223788742,12.045246304021308,7.410077170367758,16.52422477684822,6.476094249495578,17.15660428808947,True,True
2017,V,Revus,Late,16.28619046922883,13.163204747459025,13.208742325385682,8.847543357183575,17.563943215340224,7.948033721075725,18.140790731380285,True,True
2017,I,Ranman,Late,16.529367804002668,14.928707689516635,15.020120043531842,10.708769294335838,19.0117972262225,9.876203754751153,19.669014367683758,True,True
2017,II,Ranman,Late,14.866068747318506,14.945607865521948,14.902087172674381,10.595953574791707,19.413737548130115,9.868116902923347,20.102408041499338,True,True
2017,III,Ranman,Late,15.989058759038945,16.143089901250097,16.017784330107375,11.646085888220226,20.518469001179323,10.70087312499352,21.431247759477166,True,True
2017,IV,Ranman,Late,12.23805540108395,13.631366814981034,13.697635356171874,9.482306426005094,17.638754548037515,8.60262003010817,18.68312897055485,True,True
2017,V,Ranman,Late,14.7600813005891,14.881344668490591,14.887990197428048,10.675984020746206,19.063204130911757,9.8501930305692,19.872872193603975,True,True
2017,I,Revus,Early,15.564061166674977,12.423927656882052,12.419122710294776,7.935543198609368,16.78274864842429,6.9068241297783395,17.591596839666018,True,True
2017,II,Revus,Early,13.757179943578553,12.636277382338504,12.669720257516769,8.20354318779486,16.691093869360916,7.427022758122831,17.5394432438688,True,True
2017,III,Revus,Early,11.939430472179149,13.674521484069254,13.597081665831276,9.58894038547388,17.77106453440941,8.74304250835506,18.76056183163897,True,True
2017,IV,Revus,Early,13.051053597315429,11.260002492735987,11.226903573843472,7.024023514600846,15.499664362975288,6.111598285409774,16.383180858264783,True,True
2017,V,Revus,Early,11.39912277326637,12.480110679752364,12.392784792694766,8.337739655138252,16.811678606503477,7.359667540955447,17.76601373902844,True,True
2017,I,Ranman,Early,14.496551314019483,13.535183815064306,13.552491098024074,9.38252664974859,17.903434120522533,8.253508241354796,18.6320904888922,True,True
2017,II,Ranman,Early,16.345335726133005,13.602286882812209,13.6110142045945,9.514080017861144,18.01340583826704,8.378394323384022,18.561878605402438,True,True
2017,III,Ranman,Early,16.04805284138858,14.573753116789836,14.636006585240791,10.275400424514144,18.83371073450452,9.68775218274799,19.838933326544243,True,True
2017,IV,Ranman,Early,12.302845199383759,12.449869336060212,12.390216946143322,8.41969647911163,16.740008092957815,7.435303290648847,17.422365040596123,True,True
