held_out_year,n_test,rmse,mae,coverage_90,coverage_95,mean_pi90_width,mean_pi95_width,predictive_negative_fraction
2017,37,5.121654463932482,4.533693312438349,1.0,1.0,27.323006989661565,34.016600447462125,0.024256756756756755
2018,50,9.822332870236336,9.396894483436094,0.78,0.96,22.990437341300826,28.144294833774474,0.00355
2020,50,11.139210997610585,10.923220250765734,0.36,0.72,20.829607795348817,25.31987593032831,0.016375
2021,50,4.644391850543485,3.923474225267759,1.0,1.0,27.97639105624155,34.77774475876175,0.03055
ALL,187,8.362473715071342,7.379283960073253,0.7700534759358288,0.9144385026737968,24.603064536160623,30.32465236737607,
