policy,n_rollouts,mean_followup_cost_units,mcse_followup_cost_units,mean_n_efficacy_followups,mcse_n_efficacy_followups,mean_n_safety_followups,mcse_n_safety_followups,mean_n_advanced,mcse_n_advanced,mean_downstream_cost_units,mcse_downstream_cost_units,mean_posterior_expected_portfolio_value,mcse_posterior_expected_portfolio_value,mean_realised_portfolio_value,mcse_realised_portfolio_value,mean_oracle_portfolio_value,mcse_oracle_portfolio_value,mean_oracle_regret,mcse_oracle_regret,mean_advanced_technical_success_rate,mcse_advanced_technical_success_rate
no_followup,500,0.0,0.0,0.0,0.0,0.0,0.0,5.676,0.021886205976003423,124.652,0.22836394676999416,196.39043014264232,2.1196297558517054,232.81809452038783,4.489607806908007,394.7123597458999,2.3591590201964863,161.8942652255121,3.621157429715442,0.7264333333333334,0.008538705280346554
portfolio_voi,500,24.0,0.0,2.012,0.04476292482487885,7.976,0.0895258496497577,5.664,0.02225305365098433,122.782,0.28341771858233006,270.59411305062247,2.599745209270313,289.2671658330671,4.195911786776739,394.7123597458999,2.3591590201964863,105.44519391283285,3.168599268555046,0.8335333333333333,0.0073055531383845245
uncertainty,500,24.0,0.0,0.522,0.03106383627061692,10.956,0.062127672541233844,5.636,0.022804563056379408,125.186,0.20929983478656491,244.00258995650762,2.3413787181279493,268.06137111554574,4.120605878483278,394.7123597458999,2.3591590201964863,126.65098863035415,3.185654878134293,0.8093666666666667,0.007401928982425953
uniform,500,24.0,0.0,4.0,0.0,4.0,0.0,5.692,0.021051325769016697,124.982,0.22205848766459652,210.73719380039472,2.222626574690198,245.20573160600185,4.386886861180157,394.7123597458999,2.3591590201964863,149.50662813989805,3.420571340086555,0.7507333333333334,0.008095059259404529
