treatment,posterior_mean_delta_sqrt_audpc,posterior_sd,paired_observation_sd,prob_late_greater_disease,prob_wrong_timing_if_act_now,sign_entropy_nats,parameter_eig_nats,decision_sign_eig_nats,bayes_regret_sqrt_audpc,decision_eig_rank,parameter_eig_rank
Revus,0.8446852326301868,0.6432992998342812,2.480377748004259,0.9054172344308065,0.09458276556919354,0.3130143658598536,0.03254974920961991,0.010584391852149766,0.02848469203957804,1,2
Curzate,1.411630598383613,0.6304778241653941,2.093492359714789,0.9874215646116544,0.012578435388345577,0.06753935101548501,0.0434088487586066,0.0035724034366470814,0.0027559309642269034,2,1
FungiPhi,1.3159302017515029,0.6321311994279384,3.3023022451243897,0.9813166995225494,0.018683300477450593,0.09286954501412484,0.017993388324522196,0.002020694149496363,0.004299769755655387,3,3
Ranman,1.343266003142721,0.6296408855032918,3.6000083677913683,0.9835533945687653,0.016446605431234662,0.08386728392024193,0.015065704492565698,0.0015457426983031264,0.0037122783295004715,4,4
Presidio,1.7377385231589988,0.6839130004006783,5.1131453354182845,0.9944712527188794,0.005528747281120627,0.034250725072461366,0.008866234258235855,0.0004001283468913902,0.0012067392048506643,5,5
