policy,budget_paired_blocks,n_rollouts,mean_sign_entropy_nats,sd_sign_entropy_nats,mean_bayes_regret_sqrt_audpc,sd_bayes_regret_sqrt_audpc,mean_expected_wrong_timing_decisions,sd_expected_wrong_timing_decisions,mcse_sign_entropy_nats,mcse_bayes_regret_sqrt_audpc,mcse_expected_wrong_timing_decisions
decision_eig,0,10000,0.5915412708821668,0.0,0.04045941029381147,0.0,0.147819854147345,0.0,0.0,0.0,0.0
decision_eig,5,10000,0.5484628886872852,0.17156405656344761,0.040063612376474995,0.0338249559341429,0.14755998617944543,0.09006275576058408,0.0017156405656344762,0.00033824955934142896,0.0009006275576058407
decision_eig,10,10000,0.5151444645992155,0.20485239042308656,0.03732807103570066,0.038091867958768996,0.1429018808837509,0.10970164407126926,0.0020485239042308655,0.00038091867958768994,0.0010970164407126926
decision_eig,15,10000,0.49043045849881284,0.224789762725291,0.0346497129876129,0.037674086059399065,0.13856562003274625,0.11823420321842913,0.0022478976272529098,0.00037674086059399063,0.0011823420321842913
decision_eig,20,10000,0.469396977815941,0.23670915309161214,0.03197359577362452,0.03571465101879715,0.13364990060332196,0.12124619216958445,0.0023670915309161214,0.00035714651018797154,0.0012124619216958444
parameter_eig,0,10000,0.5915412708821668,0.0,0.04045941029381147,0.0,0.147819854147345,0.0,0.0,0.0,0.0
parameter_eig,5,10000,0.5695248827041575,0.1174394383766809,0.040404980302567735,0.017052645323582864,0.14776421910093274,0.04869601194146648,0.001174394383766809,0.00017052645323582864,0.0004869601194146648
parameter_eig,10,10000,0.546083513625486,0.16706740724584151,0.04042744098466319,0.02876051218399874,0.14796227865193193,0.07874776656085948,0.0016706740724584152,0.0002876051218399874,0.0007874776656085948
parameter_eig,15,10000,0.5217580036960575,0.2011195943173921,0.03987386272559057,0.037375431623179564,0.1473749432736663,0.10267871242333512,0.002011195943173921,0.00037375431623179565,0.0010267871242333512
parameter_eig,20,10000,0.5072051178485161,0.2155455010983798,0.039011164608550995,0.03953040628983421,0.14640637432604686,0.11255666865235918,0.002155455010983798,0.0003953040628983421,0.0011255666865235918
uniform,0,10000,0.5915412708821668,0.0,0.04045941029381147,0.0,0.147819854147345,0.0,0.0,0.0,0.0
uniform,5,10000,0.5734838718474893,0.11040802654197428,0.04037101102837319,0.016282939625059098,0.14765452772369275,0.04552151624802374,0.0011040802654197427,0.00016282939625059098,0.0004552151624802374
uniform,10,10000,0.5568398633602565,0.1472746854118868,0.04015349653632879,0.022779312629887898,0.14723521601384737,0.0629209993813539,0.001472746854118868,0.000227793126298879,0.000629209993813539
uniform,15,10000,0.5417042627075281,0.17348477224779907,0.039951932826361836,0.027858002383301182,0.14683821439007733,0.07647870656459395,0.0017348477224779907,0.0002785800238330118,0.0007647870656459395
uniform,20,10000,0.5271199308320702,0.19334822437495575,0.039721094382008,0.032085319714879136,0.1462830910561656,0.08788178568101668,0.0019334822437495575,0.00032085319714879134,0.0008788178568101668
