candidate,dose,formulation,adjuvant,efficacy,environmental_burden,crop_injury
20,0.05,0.18181818181818182,0.0,0.12301288049067041,0.005597354672525881,0.0320291484408958
21,0.05,0.18181818181818182,0.1111111111111111,0.1434890409157678,0.016708465783636994,0.034593470322288655
22,0.05,0.18181818181818182,0.2222222222222222,0.16865145310432736,0.027819576894748108,0.039702144542463895
23,0.05,0.18181818181818182,0.3333333333333333,0.2095387714854053,0.03893068800585922,0.04877431437184707
24,0.05,0.18181818181818182,0.4444444444444444,0.2677616592943035,0.050041799116970306,0.06564647893474783
25,0.05,0.18181818181818182,0.5555555555555556,0.30639209293746017,0.061152910228081434,0.08854022825682299
35,0.05,0.2727272727272727,0.5555555555555556,0.32935862594924165,0.09218046668751942,0.08037731532596487
55,0.05,0.4545454545454546,0.5555555555555556,0.3982112577416127,0.16941291287899607,0.0634352452210555
64,0.05,0.5454545454545454,0.4444444444444444,0.42735627156471867,0.17852445885494905,0.01874746583315432
65,0.05,0.5454545454545454,0.5555555555555556,0.46598670520787533,0.18963556996606015,0.0686708770794617
74,0.05,0.6363636363636364,0.4444444444444444,0.4781759372643707,0.1985449990996488,0.04618644818951784
75,0.05,0.6363636363636364,0.5555555555555556,0.5168063709075273,0.2096561102107599,0.07972109365880344
145,0.11785714285714285,0.18181818181818182,0.5555555555555556,0.3348662545966068,0.10137368944886065,0.10053286426526863
155,0.11785714285714285,0.2727272727272727,0.5555555555555556,0.3578327876083883,0.1328330640901168,0.0923699513344105
264,0.18571428571428572,0.18181818181818182,0.4444444444444444,0.3391409690875822,0.13048335755852875,0.0889325222413035
265,0.18571428571428572,0.18181818181818182,0.5555555555555556,0.3782991805085166,0.14159446866963987,0.11484214457925167
275,0.18571428571428572,0.2727272727272727,0.5555555555555556,0.4012657135202981,0.1734856614927142,0.10667923164839355
384,0.25357142857142856,0.18181818181818182,0.4444444444444444,0.4004930836213661,0.170704136779308,0.10374043716524319
385,0.25357142857142856,0.18181818181818182,0.5555555555555556,0.4399151839311894,0.18181524789041914,0.13115799601112788
505,0.3214285714285714,0.18181818181818182,0.5555555555555556,0.518965808309911,0.2220360271111983,0.1492975714650901
624,0.38928571428571423,0.18181818181818182,0.4444444444444444,0.5683540140449712,0.2511456952208664,0.13870067368349473
625,0.38928571428571423,0.18181818181818182,0.5555555555555556,0.6083038921325722,0.2622568063319775,0.1691341055452525
744,0.45714285714285713,0.18181818181818182,0.4444444444444444,0.6556842623298902,0.29136647444164565,0.15863071700494913
745,0.45714285714285713,0.18181818181818182,0.5555555555555556,0.6958980293063802,0.3024775855527568,0.19057208537464337
794,0.45714285714285713,0.6363636363636364,0.4444444444444444,0.8660985402999573,0.45282421987886956,0.13917068625971915
795,0.45714285714285713,0.6363636363636364,0.5555555555555556,0.9063123072764473,0.4639353309899807,0.18175295077662382
864,0.525,0.18181818181818182,0.4444444444444444,0.7301228348358415,0.33158725366242486,0.1800864205824459
865,0.525,0.18181818181818182,0.5555555555555556,0.7706004907012205,0.342698364773536,0.21353572546007665
875,0.525,0.2727272727272727,0.5555555555555556,0.7935670237130019,0.3767486485057012,0.20537281252921852
905,0.525,0.5454545454545454,0.5555555555555556,0.9301951029716355,0.48327193360242376,0.19366637428271535
914,0.525,0.6363636363636364,0.4444444444444444,0.9405371128059086,0.4952040900087397,0.16062638983721592
915,0.525,0.6363636363636364,0.5555555555555556,0.9810147686712876,0.5063152011198508,0.2047165908620571
984,0.5928571428571429,0.18181818181818182,0.4444444444444444,0.7863444783091392,0.3718080328832041,0.2030054792663714
985,0.5928571428571429,0.18181818181818182,0.5555555555555556,0.8270860230634071,0.3829191439943152,0.2379627206519387
995,0.5928571428571429,0.2727272727272727,0.5555555555555556,0.8500525560751885,0.41740124590829863,0.22979980772108055
1025,0.5928571428571429,0.5454545454545454,0.5555555555555556,0.9866806353338222,0.5252199855504758,0.2180933694745774
1034,0.5928571428571429,0.6363636363636364,0.4444444444444444,0.9967587562792063,0.5375839601386099,0.18354544852114144
1035,0.5928571428571429,0.6363636363636364,0.5555555555555556,1.0,0.548695071249721,0.22914358605391913
1105,0.6607142857142857,0.18181818181818182,0.5555555555555556,0.8660161347464602,0.4231399232150944,0.26380050219779605
1115,0.6607142857142857,0.2727272727272727,0.5555555555555556,0.8889826677582415,0.45805384331089594,0.25563758926693797
1225,0.7285714285714285,0.18181818181818182,0.5555555555555556,0.8911457237330151,0.4633607024358737,0.2910038284530849
