year,month,avg_temp_c,sunshine_hours,rainfall_mm,rain_days
2009,February,5,109,98.62,14
2009,March,5,88,123.26,15
2009,April,8,146,70.58,6
2009,May,12,224,74.27,7
2010,February,7,114,109.96,12
2010,March,7,128,172.22,8
2010,April,8,80,155.07,10
2010,May,10,89,105.60,11
2011,February,3,102,133.09,7
2011,March,6,8,214.11,22
2011,April,6,73,154.19,11
2011,May,9,71,80.25,11
2012,February,4,101,109.43,11
2012,March,5,53,358.06,18
2012,April,9,65,138.77,15
2012,May,11,149,59.60,6
2013,February,5,67,66.41,7
2013,March,7,91,86.54,8
2013,April,9,104,82.41,9
2013,May,13,170,88.16,7
2014,February,5,45,224.62,14
2014,March,8,119,241.77,15
2014,April,9,130,120.10,11
2014,May,13,189,84.64,7
2015,February,8,110,153.48,10
2015,March,9,135,119.07,6
2015,April,8,161,53.90,9
2015,May,13,186,17.46,2
2016,February,7,70,108.12,14
2016,March,8,86,209.48,18
2016,April,11,125,75.40,4
2016,May,14,155,16.87,3
2017,February,4,51,331.68,20
2017,March,7,41,271.68,20
2017,April,8,67,144.76,16
2017,May,13,203,63.03,5
2018,February,5,68,82.53,11
2018,March,6,82,118.31,11
2018,April,9,92,137.10,13
2018,May,13,186,6.90,1
2019,February,2,51,228.17,17
2019,March,6,167,46.82,9
2019,April,10,100,185.82,12
2019,May,13,212,52.20,5
2020,February,5,98,64.20,8
2020,March,6,131,96.27,8
2020,April,10,107,57.23,7
2020,May,13,109,100.10,8
2021,February,5,20,193.90,15
2021,March,6,111,68.39,9
2021,April,10,186,15.50,2
2021,May,13,186,33.17,6
2022,February,5,131,51.50,7
2022,March,8,68,106.40,8
2022,April,7,78,149.00,15
2022,May,10,110,135.10,10
2023,February,3,84,73.24,9
2023,March,4,59,203.70,16
2023,April,8,72,201.75,14
2023,May,14,244,27.00,4
2024,February,6,60,179.66,9
2024,March,6,113,141.49,9
2024,April,8,130,58.13,4
2024,May,11,204,64.48,3
2025,February,4,57,405.78,11
2025,March,7,34,291.27,12
2025,April,9,125,112.71,4
2025,May,12,100,70.62,4
