Year,TRT,Block,AUDPC,Timing,Treatment
2019,KKRR,IV,69,Late,Ranman
2019,KKRR,V,99.48,Late,Ranman
2019,ReReKK,I,19.5,Early,Revus
2019,ReReKK,II,4,Early,Revus
2019,ReReKK,III,50.67,Early,Revus
2019,ReReKK,IV,88,Early,Revus
2019,ReReKK,V,17.17,Early,Revus
2019,KKReRe,I,44,Late,Revus
2019,KKReRe,II,26.67,Late,Revus
2019,KKReRe,III,29.83,Late,Revus
2019,KKReRe,IV,78,Late,Revus
2019,KKReRe,V,52.83,Late,Revus
2019,CCKK,I,12.67,Early,Curzate
2019,CCKK,II,8.5,Early,Curzate
2019,CCKK,III,105.67,Early,Curzate
2019,CCKK,IV,189.67,Early,Curzate
2019,CCKK,V,142.67,Early,Curzate
2019,KKCC,I,172.83,Late,Curzate
2019,KKCC,II,37.33,Late,Curzate
2019,KKCC,III,159.33,Late,Curzate
2019,KKCC,IV,84.67,Late,Curzate
2019,KKCC,V,93.5,Late,Curzate
2019,FFKK,I,6.67,Early,FungiPhi
2019,FFKK,II,10,Early,FungiPhi
2019,FFKK,III,47.17,Early,FungiPhi
2019,FFKK,IV,80.33,Early,FungiPhi
2019,FFKK,V,54.67,Early,FungiPhi
2019,KKFF,I,13.67,Late,FungiPhi
2019,KKFF,II,29,Late,FungiPhi
2019,KKFF,III,124.33,Late,FungiPhi
2019,KKFF,IV,75.33,Late,FungiPhi
2019,KKFF,V,20,Late,FungiPhi
2019,PPKK,I,4,Early,Presidio
2019,PPKK,II,40.83,Early,Presidio
2019,PPKK,III,4.67,Early,Presidio
2019,PPKK,IV,95.33,Early,Presidio
2019,PPKK,V,13,Early,Presidio
2019,KKPP,I,8.67,Late,Presidio
2019,KKPP,II,10.5,Late,Presidio
2019,KKPP,III,121.33,Late,Presidio
2019,KKPP,IV,33,Late,Presidio
2019,KKPP,V,86.83,Late,Presidio
2020,RRKK,I,577.28,Early,Ranman
2020,RRKK,II,701.61,Early,Ranman
2020,RRKK,III,624.83,Early,Ranman
2020,RRKK,IV,561.78,Early,Ranman
2020,RRKK,V,926.33,Early,Ranman
2020,KKRR,I,736.5,Late,Ranman
2020,KKRR,II,631.72,Late,Ranman
2020,KKRR,III,632.5,Late,Ranman
2020,KKRR,IV,840.28,Late,Ranman
2020,KKRR,V,840.11,Late,Ranman
2020,ReReKK,I,609.83,Early,Revus
2020,ReReKK,II,626.33,Early,Revus
2020,ReReKK,III,820.44,Early,Revus
2020,ReReKK,IV,587.89,Early,Revus
2020,ReReKK,V,658.72,Early,Revus
2020,KKReRe,I,612.17,Late,Revus
2020,KKReRe,II,551.72,Late,Revus
2020,KKReRe,III,730.94,Late,Revus
2020,KKReRe,IV,596.5,Late,Revus
2020,KKReRe,V,654.89,Late,Revus
2020,CCKK,I,533.94,Early,Curzate
2020,CCKK,II,620.33,Early,Curzate
2020,CCKK,III,610.39,Early,Curzate
2020,CCKK,IV,671.44,Early,Curzate
2020,CCKK,V,520.56,Early,Curzate
2020,KKCC,I,613.78,Late,Curzate
2020,KKCC,II,622.72,Late,Curzate
2020,KKCC,III,813.72,Late,Curzate
2020,KKCC,IV,578.72,Late,Curzate
2020,KKCC,V,642.67,Late,Curzate
2020,FFKK,I,693.83,Early,FungiPhi
2020,FFKK,II,676.39,Early,FungiPhi
2020,FFKK,III,619.11,Early,FungiPhi
2020,FFKK,IV,748.06,Early,FungiPhi
2020,FFKK,V,593.89,Early,FungiPhi
2020,KKFF,I,609.22,Late,FungiPhi
2020,KKFF,II,878.61,Late,FungiPhi
2020,KKFF,III,504.11,Late,FungiPhi
2020,KKFF,IV,595.33,Late,FungiPhi
2020,KKFF,V,597.94,Late,FungiPhi
2020,KKKK,I,562.89,.,Kocide
2020,KKKK,II,565.83,.,Kocide
2020,KKKK,III,440.89,.,Kocide
2020,KKKK,IV,910.28,.,Kocide
2020,KKKK,V,664.56,.,Kocide
2020,PPKK,I,463.72,Early,Presidio
2020,PPKK,II,754.44,Early,Presidio
2020,PPKK,III,606.94,Early,Presidio
2020,PPKK,IV,882.17,Early,Presidio
2020,PPKK,V,524.78,Early,Presidio
2020,KKPP,I,513.89,Late,Presidio
2020,KKPP,II,864.44,Late,Presidio
2020,KKPP,III,878.17,Late,Presidio
2020,KKPP,IV,678.22,Late,Presidio
2020,KKPP,V,708.56,Late,Presidio
2020,NT,I,736.11,.,NT
2020,NT,II,1018.56,.,NT
2020,NT,III,1020.61,.,NT
2020,NT,IV,1033.78,.,NT
2020,NT,V,736.67,.,NT
2021,RRKK,I,259.78,Early,Ranman
2021,RRKK,II,197.56,Early,Ranman
2021,RRKK,III,298.67,Early,Ranman
2021,RRKK,IV,482.22,Early,Ranman
2021,RRKK,V,304.11,Early,Ranman
2021,ReReKK,I,245.78,Early,Revus
2021,ReReKK,II,214.67,Early,Revus
2021,ReReKK,III,515.67,Early,Revus
2021,ReReKK,IV,378.78,Early,Revus
2021,ReReKK,V,302.56,Early,Revus
2021,KKRR,I,430.11,Late,Ranman
2021,KKRR,II,586.44,Late,Ranman
2021,KKRR,III,420,Late,Ranman
2021,KKRR,IV,475.22,Late,Ranman
2021,KKRR,V,619.89,Late,Ranman
2021,KKReRe,I,308.78,Late,Revus
2021,KKReRe,II,360.11,Late,Revus
2021,KKReRe,III,472.11,Late,Revus
2021,KKReRe,IV,508.67,Late,Revus
2021,KKReRe,V,455,Late,Revus
2021,CCKK,I,253.56,Early,Curzate
2021,CCKK,II,234.89,Early,Curzate
2021,CCKK,III,496.22,Early,Curzate
2021,CCKK,IV,500.89,Early,Curzate
2021,CCKK,V,416.89,Early,Curzate
2021,KKCC,I,294,Late,Curzate
2021,KKCC,II,314.22,Late,Curzate
2021,KKCC,III,477.56,Late,Curzate
2021,KKCC,IV,404.44,Late,Curzate
2021,KKCC,V,480.67,Late,Curzate
2021,FFKK,I,580.22,Early,FungiPhi
2021,FFKK,II,335.22,Early,FungiPhi
2021,FFKK,III,392,Early,FungiPhi
2021,FFKK,IV,590.33,Early,FungiPhi
2021,FFKK,V,588,Early,FungiPhi
2021,KKFF,I,374.11,Late,FungiPhi
2021,KKFF,II,602.78,Late,FungiPhi
2021,KKFF,III,519.56,Late,FungiPhi
2021,KKFF,IV,574.78,Late,FungiPhi
2021,KKFF,V,508.67,Late,FungiPhi
2021,KKKK,I,439.44,.,Kocide
2021,KKKK,II,630,.,Kocide
2021,KKKK,III,674.33,.,Kocide
2021,KKKK,IV,766.89,.,Kocide
2021,KKKK,V,536.67,.,Kocide
2021,PPKK,I,287,Early,Presidio
2021,PPKK,II,472.89,Early,Presidio
2021,PPKK,III,314.22,Early,Presidio
2021,PPKK,IV,639.33,Early,Presidio
2021,PPKK,V,371,Early,Presidio
2021,KKPP,I,158.67,Late,Presidio
2021,KKPP,II,518.78,Late,Presidio
2021,KKPP,III,569.33,Late,Presidio
2021,KKPP,IV,327.44,Late,Presidio
2021,KKPP,V,486.89,Late,Presidio
2021,NT,I,960.56,.,NT
2021,NT,II,1055.44,.,NT
2021,NT,III,1113,.,NT
2021,NT,IV,827.56,.,NT
2021,NT,V,752.11,.,NT
