year,block,treatment,early_audpc,late_audpc,early_sqrt_audpc,late_sqrt_audpc,delta_audpc_late_minus_early,delta_sqrt_audpc_late_minus_early,year_block
2017,I,Curzate,123.99,229.14,11.135079703351925,15.137370973851436,105.14999999999999,4.00229127049951,2017:I
2017,I,Ranman,210.15,273.22,14.496551314019483,16.529367804002668,63.07000000000002,2.032816489983185,2017:I
2017,I,Revus,242.24,124.67,15.564061166674977,11.165572085656875,-117.57000000000001,-4.398489081018102,2017:I
2017,II,FungiPhi,259.83,145.32,16.119243158411624,12.05487453273571,-114.50999999999999,-4.064368625675915,2017:II
2017,II,Ranman,267.17,221.0,16.345335726133005,14.866068747318506,-46.170000000000016,-1.4792669788144988,2017:II
2017,II,Revus,189.26,147.26,13.757179943578553,12.135073135337915,-42.0,-1.6221068082406376,2017:II
2017,III,Curzate,235.89,358.56,15.358710883404244,18.9356806056714,122.67000000000002,3.5769697222671564,2017:III
2017,III,FungiPhi,252.5,307.49,15.890248582070704,17.535392781457734,54.99000000000001,1.6451441993870297,2017:III
2017,III,Ranman,257.54,255.65,16.04805284138858,15.989058759038945,-1.8900000000000148,-0.058994082349633103,2017:III
2017,III,Revus,142.55,125.87,11.939430472179149,11.21918000568669,-16.680000000000007,-0.7202504664924589,2017:III
2017,IV,Curzate,64.25,142.93,8.0156097709407,11.955333537798099,78.68,3.9397237668573997,2017:IV
2017,IV,FungiPhi,108.89,146.14,10.435037134576953,12.088837826689545,37.249999999999986,1.6538006921125916,2017:IV
2017,IV,Ranman,151.36,149.77,12.302845199383759,12.23805540108395,-1.5900000000000034,-0.06478979829980958,2017:IV
2017,IV,Revus,170.33,204.04,13.051053597315429,14.284257068535275,33.70999999999998,1.2332034712198467,2017:IV
2017,V,FungiPhi,97.6,215.04,9.879271228182775,14.664242223858688,117.44,4.784970995675913,2017:V
2017,V,Ranman,249.54,217.86,15.796835126062435,14.7600813005891,-31.67999999999998,-1.036753825473335,2017:V
2017,V,Revus,129.94,265.24,11.39912277326637,16.28619046922883,135.3,4.887067695962461,2017:V
2018,I,Curzate,59.31,44.0,7.7012985917960615,6.6332495807108,-15.310000000000002,-1.0680490110852618,2018:I
2018,I,FungiPhi,114.44,173.0,10.697663296253065,13.152946437965905,58.56,2.4552831417128402,2018:I
2018,I,Presidio,43.13,420.89,6.567343450741708,20.515603817582363,377.76,13.948260366840655,2018:I
2018,I,Ranman,97.83,170.0,9.890904913100721,13.038404810405298,72.17,3.147499897304577,2018:I
2018,I,Revus,85.94,113.33,9.270382947861432,10.645656391223605,27.39,1.3752734433621736,2018:I
2018,II,Curzate,101.72,148.67,10.085633346498375,12.193030796319674,46.94999999999999,2.107397449821299,2018:II
2018,II,FungiPhi,104.17,250.33,10.206370559606388,15.821820375671063,146.16000000000003,5.615449816064675,2018:II
2018,II,Presidio,126.11,329.44,11.229870880824944,18.150482087261484,203.32999999999998,6.92061120643654,2018:II
2018,II,Ranman,270.78,175.83,16.45539425234169,13.260090497428742,-94.94999999999996,-3.195303754912949,2018:II
2018,II,Revus,95.11,127.94,9.752435593224904,11.311056537742175,32.83,1.558620944517271,2018:II
2018,III,Curzate,70.56,74.11,8.4,8.608716512930368,3.549999999999997,0.20871651293036741,2018:III
2018,III,FungiPhi,130.69,112.06,11.431972708154966,10.585839598255776,-18.629999999999995,-0.8461331098991902,2018:III
2018,III,Presidio,123.22,147.56,11.10045044131093,12.147427711248172,24.340000000000003,1.0469772699372424,2018:III
2018,III,Ranman,86.89,55.72,9.321480569094161,7.464583042608609,-31.17,-1.856897526485552,2018:III
2018,III,Revus,103.56,59.56,10.176443386566842,7.717512552629895,-44.0,-2.4589308339369467,2018:III
2018,IV,Curzate,47.81,104.56,6.9144775652250114,10.225458424931373,56.75,3.310980859706362,2018:IV
2018,IV,FungiPhi,169.25,263.44,13.009611831257688,16.230834852218784,94.19,3.221223020961096,2018:IV
2018,IV,Presidio,71.63,59.28,8.463450832845902,7.699350621968063,-12.349999999999994,-0.7641002108778396,2018:IV
2018,IV,Ranman,82.89,90.44,9.104394543296111,9.509994742374992,7.549999999999997,0.4056001990788811,2018:IV
2018,IV,Revus,27.17,77.06,5.21248501196886,8.778382538941898,49.89,3.565897526973038,2018:IV
2018,V,Curzate,16.88,70.11,4.1085277168348275,8.373171442171717,53.230000000000004,4.26464372533689,2018:V
2018,V,FungiPhi,86.44,172.88,9.297311439335568,13.14838393111488,86.44,3.8510724917793127,2018:V
2018,V,Presidio,55.94,122.61,7.4793047805260615,11.072939989000211,66.67,3.59363520847415,2018:V
2018,V,Ranman,163.44,80.56,12.784365451597509,8.97552226892675,-82.88,-3.808843182670758,2018:V
2018,V,Revus,81.22,74.11,9.012213934433648,8.608716512930368,-7.109999999999999,-0.40349742150328005,2018:V
2020,I,Curzate,533.94,613.78,23.107141753146365,24.77458375028731,79.83999999999992,1.6674419971409442,2020:I
2020,I,FungiPhi,693.83,609.22,26.340652991146595,24.682382380961528,-84.61000000000001,-1.6582706101850668,2020:I
2020,I,Presidio,463.72,513.89,21.534158910902466,22.669142021699894,50.16999999999996,1.1349831107974282,2020:I
2020,I,Ranman,577.28,736.5,24.026651868289928,27.13853349022382,159.22000000000003,3.111881621933893,2020:I
2020,I,Revus,609.83,612.17,24.69473628124018,24.742069436488126,2.339999999999918,0.0473331552479479,2020:I
2020,II,Curzate,620.33,622.72,24.906424873915565,24.954358336771556,2.3899999999999864,0.04793346285599043,2020:II
2020,II,FungiPhi,676.39,878.61,26.007498918581156,29.641356244274654,202.22000000000003,3.633857325693498,2020:II
2020,II,Presidio,754.44,864.44,27.467071194432073,29.401360512738183,110.0,1.93428931830611,2020:II
2020,II,Ranman,701.61,631.72,26.487921775783015,25.134040662018514,-69.88999999999999,-1.3538811137645013,2020:II
2020,II,Revus,626.33,551.72,25.026585863836882,23.488720697390058,-74.61000000000001,-1.5378651664468244,2020:II
2020,III,Curzate,610.39,813.72,24.706072128122674,28.52577781586332,203.33000000000004,3.8197056877406474,2020:III
2020,III,FungiPhi,619.11,504.11,24.881921147692758,22.452394081700955,-115.0,-2.4295270659918025,2020:III
2020,III,Presidio,606.94,878.17,24.636152296980146,29.633933252270108,271.2299999999999,4.9977809552899615,2020:III
2020,III,Ranman,624.83,632.5,24.99659976876855,25.149552679918582,7.669999999999959,0.15295291115003096,2020:III
2020,III,Revus,820.44,730.94,28.643323829472028,27.035902056339825,-89.5,-1.6074217731322022,2020:III
2020,IV,Curzate,671.44,578.72,25.91215930793881,24.05659992600783,-92.72000000000003,-1.8555593819309806,2020:IV
2020,IV,FungiPhi,748.06,595.33,27.350685548994928,24.39938523815713,-152.7299999999999,-2.951300310837798,2020:IV
2020,IV,Presidio,882.17,678.22,29.70134677081159,26.04265731449078,-203.94999999999993,-3.658689456320811,2020:IV
2020,IV,Ranman,561.78,840.28,23.701898658124417,28.987583548823107,278.5,5.28568489069869,2020:IV
2020,IV,Revus,587.89,596.5,24.246443038103546,24.423349483639626,8.610000000000014,0.17690644553607981,2020:IV
2020,V,Curzate,520.56,642.67,22.815784010197852,25.350936866317188,122.11000000000001,2.5351528561193355,2020:V
2020,V,FungiPhi,593.89,597.94,24.36985843208778,24.452811699270907,4.050000000000068,0.08295326718312523,2020:V
2020,V,Presidio,524.78,708.56,22.90807717814832,26.618790355686713,183.77999999999997,3.7107131775383912,2020:V
2020,V,Ranman,926.33,840.11,30.4356698628435,28.9846511105447,-86.22000000000003,-1.4510187522988005,2020:V
2020,V,Revus,658.72,654.89,25.665541100861287,25.590818666076316,-3.830000000000041,-0.0747224347849702,2020:V
2021,I,Curzate,253.56,294.0,15.923567439490435,17.146428199482248,40.44,1.2228607599918124,2021:I
2021,I,FungiPhi,580.22,374.11,24.08775622593354,19.34192337902309,-206.11,-4.745832846910449,2021:I
2021,I,Presidio,287.0,158.67,16.941074346097416,12.59642806513021,-128.33,-4.344646280967206,2021:I
2021,I,Ranman,259.78,430.11,16.117692142487396,20.73909351924524,170.33000000000004,4.621401376757845,2021:I
2021,I,Revus,245.78,308.78,15.677372228788855,17.572137035659605,62.99999999999997,1.89476480687075,2021:I
2021,II,Curzate,234.89,314.22,15.326121492406354,17.72625171884908,79.33000000000004,2.4001302264427267,2021:II
2021,II,FungiPhi,335.22,602.78,18.30901417335188,24.551578360667566,267.55999999999995,6.242564187315686,2021:II
2021,II,Presidio,472.89,518.78,21.746034121190924,22.77674252389924,45.889999999999986,1.030708402708317,2021:II
2021,II,Ranman,197.56,586.44,14.05560386465128,24.21652328473268,388.88000000000005,10.1609194200814,2021:II
2021,II,Revus,214.67,360.11,14.65162107072115,18.976564494133285,145.44000000000003,4.324943423412135,2021:II
2021,III,Curzate,496.22,477.56,22.275996049559716,21.85314622657342,-18.660000000000025,-0.42284982298629714,2021:III
2021,III,FungiPhi,392.0,519.56,19.79898987322333,22.793858822059946,127.55999999999995,2.994868948836615,2021:III
2021,III,Presidio,314.22,569.33,17.72625171884908,23.86063704095094,255.11,6.13438532210186,2021:III
2021,III,Ranman,298.67,420.0,17.28207163507894,20.493901531919196,121.32999999999998,3.211829896840257,2021:III
2021,III,Revus,515.67,472.11,22.70836850150182,21.72809241512011,-43.559999999999945,-0.9802760863817106,2021:III
2021,IV,Curzate,500.89,404.44,22.380571931923456,20.110693672770218,-96.44999999999999,-2.269878259153238,2021:IV
2021,IV,FungiPhi,590.33,574.78,24.29670759588632,23.974569860583525,-15.550000000000068,-0.3221377353027961,2021:IV
2021,IV,Presidio,639.33,327.44,25.284975776140264,18.095303258028036,-311.89000000000004,-7.1896725181122285,2021:IV
2021,IV,Ranman,482.22,475.22,21.95950819121412,21.799541279577422,-7.0,-0.15996691163669752,2021:IV
2021,IV,Revus,378.78,508.67,19.46227119326005,22.55371366316421,129.89000000000004,3.091442469904159,2021:IV
2021,V,Curzate,416.89,480.67,20.417884317431128,21.92418755621289,63.78000000000003,1.5063032387817614,2021:V
2021,V,FungiPhi,588.0,508.67,24.24871130596428,22.55371366316421,-79.32999999999998,-1.6949976428000717,2021:V
2021,V,Presidio,371.0,486.89,19.261360284258224,22.06558406206371,115.88999999999999,2.804223777805486,2021:V
2021,V,Ranman,304.11,619.89,17.438749955200343,24.897590244840966,315.78,7.458840289640623,2021:V
2021,V,Revus,302.56,455.0,17.39425192412712,21.330729007701542,152.44,3.936477083574424,2021:V
