year,all_treatments_mean_audpc,n_observed,untreated_mean_audpc,untreated_sd_audpc,primary_analysis
2017,192.0536170212766,47,243.38600000000002,125.26725422072602,True
2018,125.90333333333334,60,188.048,62.66260982436017,True
2019,58.42466666666667,60,46.763999999999996,24.896521443768002,False
2020,680.544,60,909.146,157.8121577382427,True
2021,477.9448333333333,60,941.734,151.3344632924041,True
