treatment,timing,n,mean_audpc,sd_audpc,mean_control_efficacy,sd_control_efficacy
Curzate,Early,20,291.8335,227.26201806620992,0.5176492246845582,0.20655365586931382
Curzate,Late,18,356.36555555555555,235.56943730214596,0.3866187753046542,0.2924995723024569
FungiPhi,Early,20,361.5885,246.50831539887145,0.35760495406789167,0.20652805245213565
FungiPhi,Late,19,397.41105263157897,218.387366135771,0.22342994628699364,0.28914975206958177
Presidio,Early,15,382.4346666666667,267.88659729889616,0.466528150886326,0.21348273534950934
Presidio,Late,15,452.278,262.5364626430829,0.2041304918914195,0.5427355014663439
Ranman,Early,20,338.588,230.39812139676374,0.31163823837426463,0.325810152986532
Ranman,Late,20,395.14099999999996,259.79964298221086,0.28132773809020634,0.2347140534642832
Revus,Early,20,311.3995,238.4234142615987,0.44622350981793923,0.22029679527606805
Revus,Late,20,328.49850000000004,225.11012028677501,0.41691333595059676,0.18972194345716628
