alpha,model,rmse,mae,r2
1.0,baseline,8.573039160712206,7.598000176035204,-0.674160902630677
1.0,coarse_weather,29.197253320115678,25.435047565209004,-18.418316533459404
1.0,sentinel,5.1890217816859145,4.410004568957431,0.38666384284947297
1.0,sentinel_gxe,5.398923302177056,4.601485382563146,0.3360400308080249
5.0,baseline,8.535909296032465,7.549217560324463,-0.6596907115943735
5.0,coarse_weather,23.414963430525564,21.046565707677566,-11.488622784210774
5.0,sentinel,5.1558006601395885,4.352155701126581,0.39449209689995424
5.0,sentinel_gxe,5.2326681528074195,4.3718083043462235,0.3763025518915466
10.0,baseline,8.53148587796627,7.526641589438943,-0.6579710111167802
10.0,coarse_weather,20.21416591841774,18.40012630414492,-8.307632610192268
10.0,sentinel,5.176149641938232,4.312475893390839,0.38970301160306176
10.0,sentinel_gxe,5.252285899695607,4.359106851958211,0.3716171889427723
20.0,baseline,8.597746719948413,7.5051295542474845,-0.683824695174944
20.0,coarse_weather,17.50489180510689,15.945151333755144,-5.979855664232884
20.0,sentinel,5.339365105432214,4.345056983170379,0.35060817342648865
20.0,sentinel_gxe,5.416377428102097,4.400106950169968,0.3317400720990147
