model,held_out_year,n_test,rmse,mae,r2
baseline,2017,37,4.833853958897292,4.185276456666041,-2.738318252503613
baseline,2018,50,9.35982016864686,8.939467196751659,-7.876394055884097
baseline,2020,50,11.820323055152452,11.580660075794517,-29.95182944991187
baseline,2021,50,5.253890221619586,4.5324076940226,-1.7578710965077353
baseline,ALL,187,8.53148587796627,7.526641589438943,-0.6579710111167802
coarse_weather,2017,37,32.18865307884366,32.09547449783181,-164.76575994825734
coarse_weather,2018,50,9.12394235228352,8.704157432412451,-7.434641528081466
coarse_weather,2020,50,19.565233033152694,19.43955906090976,-83.80035712582779
coarse_weather,2021,50,17.188517970887062,16.922104755784236,-28.51812993951536
coarse_weather,ALL,187,20.21416591841774,18.40012630414492,-8.307632610192268
sentinel,2017,37,3.5459325441724276,2.968731959754313,-1.0116395232637805
sentinel,2018,50,3.1842915949429824,2.590618254912439,-0.027370817957595994
sentinel,2020,50,7.199474637612458,6.800612710111136,-10.48230935843205
sentinel,2021,50,5.37842022194438,4.540567226039972,-1.8901570137687176
sentinel,ALL,187,5.176149641938232,4.312475893390839,0.38970301160306176
sentinel_gxe,2017,37,3.5710770084405055,3.013490001001062,-1.0402700380109549
sentinel_gxe,2018,50,3.2472820402823537,2.58899498850762,-0.06841895859783143
sentinel_gxe,2020,50,7.2467107811398215,6.763680083838254,-10.633475751150923
sentinel_gxe,2021,50,5.538678695232542,4.7204019532370545,-2.0649565280637785
sentinel_gxe,ALL,187,5.252285899695607,4.359106851958211,0.3716171889427723
