rank,dose_g_ai_ha,temperature_c,spray_coverage_pct
1,15.0,20.0,85.0
2,15.0,30.0,45.0
3,10.0,30.0,85.0
4,5.0,20.0,45.0
5,40.0,20.0,45.0
6,5.0,20.0,85.0
