year,trt,block,audpc,timing,treatment,sqrt_audpc,year_block,untreated_mean_audpc,relative_disease,control_efficacy
2017,KKKK,I,156.53,,Kocide,12.511194986890741,2017:I,243.38600000000002,0.6431347735695562,0.3568652264304438
2017,KKKK,II,182.0,,Kocide,13.490737563232042,2017:II,243.38600000000002,0.7477833564790086,0.2522166435209914
2017,KKKK,III,72.39,,Kocide,8.508231308562316,2017:III,243.38600000000002,0.2974287756896452,0.7025712243103548
2017,KKKK,IV,169.67,,Kocide,13.025743740761984,2017:IV,243.38600000000002,0.6971230884274361,0.3028769115725639
2017,KKKK,V,198.71,,Kocide,14.096453454681429,2017:V,243.38600000000002,0.8164397294832076,0.18356027051679236
2017,NT,I,225.64,,NT,15.02131818450032,2017:I,243.38600000000002,0.9270870140435357,0.07291298595646434
2017,NT,II,246.22,,NT,15.691398917878546,2017:II,243.38600000000002,1.0116440551223158,-0.01164405512231581
2017,NT,III,100.78,,NT,10.038924245156949,2017:III,243.38600000000002,0.4140747619008488,0.5859252380991512
2017,NT,IV,444.01,,NT,21.07154479386834,2017:IV,243.38600000000002,1.8243037808255198,-0.8243037808255198
2017,NT,V,200.28,,NT,14.15203165626759,2017:V,243.38600000000002,0.8228903881077794,0.17710961189222063
2017,CCKK,I,123.99,Early,Curzate,11.135079703351925,2017:I,243.38600000000002,0.5094376833507268,0.4905623166492732
2017,CCKK,II,115.43,Early,Curzate,10.743835441777764,2017:II,243.38600000000002,0.47426721339764816,0.5257327866023518
2017,CCKK,III,235.89,Early,Curzate,15.358710883404244,2017:III,243.38600000000002,0.9692011865924908,0.03079881340750923
2017,CCKK,IV,64.25,Early,Curzate,8.0156097709407,2017:IV,243.38600000000002,0.2639839596361335,0.7360160403638665
2017,CCKK,V,141.72,Early,Curzate,11.904620951546505,2017:V,243.38600000000002,0.582284930111017,0.417715069888983
2017,FFKK,I,90.91,Early,FungiPhi,9.534673565466203,2017:I,243.38600000000002,0.37352189526102564,0.6264781047389744
2017,FFKK,II,259.83,Early,FungiPhi,16.119243158411624,2017:II,243.38600000000002,1.0675634588678065,-0.06756345886780646
2017,FFKK,III,252.5,Early,FungiPhi,15.890248582070704,2017:III,243.38600000000002,1.0374466896206025,-0.03744668962060249
2017,FFKK,IV,108.89,Early,FungiPhi,10.435037134576953,2017:IV,243.38600000000002,0.4473963169615343,0.5526036830384657
2017,FFKK,V,97.6,Early,FungiPhi,9.879271228182775,2017:V,243.38600000000002,0.4010090966612705,0.5989909033387295
2017,KKCC,I,229.14,Late,Curzate,15.137370973851436,2017:I,243.38600000000002,0.9414674632065935,0.05853253679340653
2017,KKCC,III,358.56,Late,Curzate,18.9356806056714,2017:III,243.38600000000002,1.4732153862588644,-0.4732153862588644
2017,KKCC,IV,142.93,Late,Curzate,11.955333537798099,2017:IV,243.38600000000002,0.5872564568216742,0.41274354317832584
2017,KKFF,II,145.32,Late,FungiPhi,12.05487453273571,2017:II,243.38600000000002,0.5970762492501622,0.4029237507498378
2017,KKFF,III,307.49,Late,FungiPhi,17.535392781457734,2017:III,243.38600000000002,1.263384089471046,-0.26338408947104597
2017,KKFF,IV,146.14,Late,FungiPhi,12.088837826689545,2017:IV,243.38600000000002,0.6004453830540786,0.3995546169459214
2017,KKFF,V,215.04,Late,FungiPhi,14.664242223858688,2017:V,243.38600000000002,0.8835347965782747,0.11646520342172528
2017,KKReRe,I,124.67,Late,Revus,11.165572085656875,2017:I,243.38600000000002,0.5122315991881209,0.4877684008118791
2017,KKReRe,II,147.26,Late,Revus,12.135073135337915,2017:II,243.38600000000002,0.6050471267862572,0.39495287321374284
2017,KKReRe,III,125.87,Late,Revus,11.21918000568669,2017:III,243.38600000000002,0.5171620389011693,0.4828379610988307
2017,KKReRe,IV,204.04,Late,Revus,14.284257068535275,2017:IV,243.38600000000002,0.8383390992086643,0.16166090079133566
2017,KKReRe,V,265.24,Late,Revus,16.28619046922883,2017:V,243.38600000000002,1.0897915245741332,-0.0897915245741332
2017,KKRR,I,273.22,Late,Ranman,16.529367804002668,2017:I,243.38600000000002,1.1225789486659052,-0.12257894866590524
2017,KKRR,II,221.0,Late,Ranman,14.866068747318506,2017:II,243.38600000000002,0.9080226471530819,0.0919773528469181
2017,KKRR,III,255.65,Late,Ranman,15.989058759038945,2017:III,243.38600000000002,1.0503890938673546,-0.05038909386735457
2017,KKRR,IV,149.77,Late,Ranman,12.23805540108395,2017:IV,243.38600000000002,0.6153599631860501,0.38464003681394987
2017,KKRR,V,217.86,Late,Ranman,14.7600813005891,2017:V,243.38600000000002,0.8951213299039386,0.10487867009606144
2017,ReReKK,I,242.24,Early,Revus,15.564061166674977,2017:I,243.38600000000002,0.9952914300740388,0.004708569925961248
2017,ReReKK,II,189.26,Early,Revus,13.757179943578553,2017:II,243.38600000000002,0.7776125167429514,0.2223874832570486
2017,ReReKK,III,142.55,Early,Revus,11.939430472179149,2017:III,243.38600000000002,0.5856951509125422,0.4143048490874578
2017,ReReKK,IV,170.33,Early,Revus,13.051053597315429,2017:IV,243.38600000000002,0.6998348302696129,0.3001651697303871
2017,ReReKK,V,129.94,Early,Revus,11.39912277326637,2017:V,243.38600000000002,0.5338844469279251,0.46611555307207486
2017,RRKK,I,210.15,Early,Ranman,14.496551314019483,2017:I,243.38600000000002,0.8634432547476025,0.13655674525239747
2017,RRKK,II,267.17,Early,Ranman,16.345335726133005,2017:II,243.38600000000002,1.0977213151126195,-0.0977213151126195
2017,RRKK,III,257.54,Early,Ranman,16.04805284138858,2017:III,243.38600000000002,1.058154536415406,-0.05815453641540591
2017,RRKK,IV,151.36,Early,Ranman,12.302845199383759,2017:IV,243.38600000000002,0.6218927958058392,0.3781072041941608
2017,RRKK,V,249.54,Early,Ranman,15.796835126062435,2017:V,243.38600000000002,1.0252849383284164,-0.025284938328416384
2018,KKKK,I,169.78,,Kocide,13.029965464267356,2018:I,188.048,0.9028545903173658,0.09714540968263419
2018,KKKK,II,133.0,,Kocide,11.532562594670797,2018:II,188.048,0.7072662298987492,0.2927337701012508
2018,KKKK,III,198.78,,Kocide,14.098936130077332,2018:III,188.048,1.0570705351825065,-0.05707053518250649
2018,KKKK,IV,108.78,,Kocide,10.429765098025937,2018:IV,188.048,0.5784693269803455,0.4215306730196545
2018,KKKK,V,70.0,,Kocide,8.366600265340756,2018:V,188.048,0.37224538415723646,0.6277546158427636
2018,NT,I,146.67,,NT,12.110739036078682,2018:I,188.048,0.7799604356334552,0.22003956436654482
2018,NT,II,172.44,,NT,13.131641176943573,2018:II,188.048,0.9169999149153407,0.08300008508465928
2018,NT,III,193.75,,NT,13.919410907075054,2018:III,188.048,1.030322045435208,-0.030322045435208
2018,NT,IV,134.94,,NT,11.616367762773352,2018:IV,188.048,0.717582744831107,0.28241725516889304
2018,NT,V,292.44,,NT,17.10087717048456,2018:V,188.048,1.555134859184889,-0.555134859184889
2018,CCKK,I,59.31,Early,Curzate,7.7012985917960615,2018:I,188.048,0.3153981962052242,0.6846018037947759
2018,CCKK,II,101.72,Early,Curzate,10.085633346498375,2018:II,188.048,0.540925721092487,0.45907427890751296
2018,CCKK,III,70.56,Early,Curzate,8.4,2018:III,188.048,0.37522334723049433,0.6247766527695057
2018,CCKK,IV,47.81,Early,Curzate,6.9144775652250114,2018:IV,188.048,0.2542435973793925,0.7457564026206075
2018,CCKK,V,16.88,Early,Curzate,4.1085277168348275,2018:V,188.048,0.08976431549391645,0.9102356845060835
2018,FFKK,I,114.44,Early,FungiPhi,10.697663296253065,2018:I,188.048,0.6085680251850591,0.39143197481494085
2018,FFKK,II,104.17,Early,FungiPhi,10.206370559606388,2018:II,188.048,0.5539543095379903,0.4460456904620097
2018,FFKK,III,130.69,Early,FungiPhi,11.431972708154966,2018:III,188.048,0.6949821322215605,0.30501786777843953
2018,FFKK,IV,169.25,Early,FungiPhi,13.009611831257688,2018:IV,188.048,0.9000361609801752,0.09996383901982475
2018,FFKK,V,86.44,Early,FungiPhi,9.297311439335568,2018:V,188.048,0.45966987152216454,0.5403301284778355
2018,KKCC,I,44.0,Late,Curzate,6.6332495807108,2018:I,188.048,0.23398281289883432,0.7660171871011656
2018,KKCC,II,148.67,Late,Curzate,12.193030796319674,2018:II,188.048,0.7905960180379477,0.20940398196205234
2018,KKCC,III,74.11,Late,Curzate,8.608716512930368,2018:III,188.048,0.3941015059984685,0.6058984940015315
2018,KKCC,IV,104.56,Late,Curzate,10.225458424931373,2018:IV,188.048,0.5560282481068664,0.44397175189313365
2018,KKCC,V,70.11,Late,Curzate,8.373171442171717,2018:V,188.048,0.37283034118948355,0.6271696588105165
2018,KKFF,I,173.0,Late,FungiPhi,13.152946437965905,2018:I,188.048,0.9199778779885986,0.08002212201140135
2018,KKFF,II,250.33,Late,FungiPhi,15.821820375671063,2018:II,188.048,1.3312026716583,-0.3312026716583001
2018,KKFF,III,112.06,Late,FungiPhi,10.585839598255776,2018:III,188.048,0.5959116821237131,0.40408831787628685
2018,KKFF,IV,263.44,Late,FungiPhi,16.230834852218784,2018:IV,188.048,1.400918914319748,-0.400918914319748
2018,KKFF,V,172.88,Late,FungiPhi,13.14838393111488,2018:V,188.048,0.9193397430443291,0.08066025695567092
2018,KKPP,I,420.89,Late,Presidio,20.515603817582363,2018:I,188.048,2.238205139113418,-1.238205139113418
2018,KKPP,II,329.44,Late,Presidio,18.150482087261484,2018:II,188.048,1.7518931336679997,-0.7518931336679997
2018,KKPP,III,147.56,Late,Presidio,12.147427711248172,2018:III,188.048,0.7846932698034544,0.21530673019654556
2018,KKPP,IV,59.28,Late,Presidio,7.699350621968063,2018:IV,188.048,0.3152386624691568,0.6847613375308432
2018,KKPP,V,122.61,Late,Presidio,11.072939989000211,2018:V,188.048,0.6520143793074109,0.3479856206925891
2018,KKReRe,I,113.33,Late,Revus,10.645656391223605,2018:I,188.048,0.6026652769505658,0.3973347230494342
2018,KKReRe,II,127.94,Late,Revus,11.311056537742175,2018:II,188.048,0.6803582064153832,0.31964179358461675
2018,KKReRe,III,59.56,Late,Revus,7.717512552629895,2018:III,188.048,0.3167276440057858,0.6832723559942142
2018,KKReRe,IV,77.06,Late,Revus,8.778382538941898,2018:IV,188.048,0.4097889900450949,0.5902110099549052
2018,KKReRe,V,74.11,Late,Revus,8.608716512930368,2018:V,188.048,0.3941015059984685,0.6058984940015315
2018,KKRR,I,170.0,Late,Ranman,13.038404810405298,2018:I,188.048,0.90402450438186,0.09597549561814
2018,KKRR,II,175.83,Late,Ranman,13.260090497428742,2018:II,188.048,0.9350272270909555,0.06497277290904446
2018,KKRR,III,55.72,Late,Ranman,7.464583042608609,2018:III,188.048,0.2963073257891602,0.7036926742108398
2018,KKRR,IV,90.44,Late,Ranman,9.509994742374992,2018:IV,188.048,0.4809410363311495,0.5190589636688505
2018,KKRR,V,80.56,Late,Ranman,8.97552226892675,2018:V,188.048,0.4284012592529567,0.5715987407470433
2018,PPKK,I,43.13,Early,Presidio,6.567343450741708,2018:I,188.048,0.22935633455288013,0.7706436654471198
2018,PPKK,II,126.11,Early,Presidio,11.229870880824944,2018:II,188.048,0.6706266485152726,0.32937335148472735
2018,PPKK,III,123.22,Early,Presidio,11.10045044131093,2018:III,188.048,0.655258231940781,0.34474176805921897
2018,PPKK,IV,71.63,Early,Presidio,8.463450832845902,2018:IV,188.048,0.38091338381689777,0.6190866161831022
2018,PPKK,V,55.94,Early,Presidio,7.4793047805260615,2018:V,188.048,0.2974772398536544,0.7025227601463456
2018,ReReKK,I,85.94,Early,Revus,9.270382947861432,2018:I,188.048,0.4570109759210414,0.5429890240789585
2018,ReReKK,II,95.11,Early,Revus,9.752435593224904,2018:II,188.048,0.5057751212456394,0.4942248787543606
2018,ReReKK,III,103.56,Early,Revus,10.176443386566842,2018:III,188.048,0.5507104569046201,0.44928954309537994
2018,ReReKK,IV,27.17,Early,Revus,5.21248501196886,2018:IV,188.048,0.14448438696503021,0.8555156130349698
2018,ReReKK,V,81.22,Early,Revus,9.012213934433648,2018:V,188.048,0.4319110014464392,0.5680889985535609
2018,RRKK,I,97.83,Early,Ranman,9.890904913100721,2018:I,188.048,0.5202395133157491,0.47976048668425086
2018,RRKK,II,270.78,Early,Ranman,16.45539425234169,2018:II,188.048,1.4399515017442353,-0.43995150174423525
2018,RRKK,III,86.89,Early,Ranman,9.321480569094161,2018:III,188.048,0.4620628775631754,0.5379371224368246
2018,RRKK,IV,82.89,Early,Ranman,9.104394543296111,2018:IV,188.048,0.44079171275419043,0.5592082872458095
2018,RRKK,V,163.44,Early,Ranman,12.784365451597509,2018:V,188.048,0.8691397940951247,0.13086020590487535
2020,RRKK,I,577.28,Early,Ranman,24.026651868289928,2020:I,909.146,0.6349695208470366,0.3650304791529634
2020,RRKK,II,701.61,Early,Ranman,26.487921775783015,2020:II,909.146,0.7717242335114493,0.22827576648855075
2020,RRKK,III,624.83,Early,Ranman,24.99659976876855,2020:III,909.146,0.687271351356108,0.31272864864389205
2020,RRKK,IV,561.78,Early,Ranman,23.701898658124417,2020:IV,909.146,0.6179205540144267,0.3820794459855733
2020,RRKK,V,926.33,Early,Ranman,30.4356698628435,2020:V,909.146,1.0189012545839724,-0.018901254583972404
2020,KKRR,I,736.5,Late,Ranman,27.13853349022382,2020:I,909.146,0.8101009078849822,0.18989909211501776
2020,KKRR,II,631.72,Late,Ranman,25.134040662018514,2020:II,909.146,0.694849892096539,0.305150107903461
2020,KKRR,III,632.5,Late,Ranman,25.149552679918582,2020:III,909.146,0.6957078401048897,0.30429215989511027
2020,KKRR,IV,840.28,Late,Ranman,28.987583548823107,2020:IV,909.146,0.9242519903293861,0.0757480096706139
2020,KKRR,V,840.11,Late,Ranman,28.9846511105447,2020:V,909.146,0.9240650016608994,0.07593499833910056
2020,ReReKK,I,609.83,Early,Revus,24.69473628124018,2020:I,909.146,0.6707723511955176,0.3292276488044824
2020,ReReKK,II,626.33,Early,Revus,25.026585863836882,2020:II,909.146,0.688921251372167,0.311078748627833
2020,ReReKK,III,820.44,Early,Revus,28.643323829472028,2020:III,909.146,0.9024293127836455,0.09757068721635453
2020,ReReKK,IV,587.89,Early,Revus,24.246443038103546,2020:IV,909.146,0.6466398136272942,0.35336018637270583
2020,ReReKK,V,658.72,Early,Revus,25.665541100861287,2020:V,909.146,0.7245480923856015,0.27545190761439853
2020,KKReRe,I,612.17,Late,Revus,24.742069436488126,2020:I,909.146,0.6733461952205696,0.3266538047794304
2020,KKReRe,II,551.72,Late,Revus,23.488720697390058,2020:II,909.146,0.6068552245733909,0.3931447754266091
2020,KKReRe,III,730.94,Late,Revus,27.035902056339825,2020:III,909.146,0.8039852784921234,0.19601472150787658
2020,KKReRe,IV,596.5,Late,Revus,24.423349483639626,2020:IV,909.146,0.656110239719473,0.343889760280527
2020,KKReRe,V,654.89,Late,Revus,25.590818666076316,2020:V,909.146,0.7203353476779307,0.2796646523220693
2020,CCKK,I,533.94,Early,Curzate,23.107141753146365,2020:I,909.146,0.5872984097163713,0.41270159028362874
2020,CCKK,II,620.33,Early,Curzate,24.906424873915565,2020:II,909.146,0.6823216513079308,0.31767834869206923
2020,CCKK,III,610.39,Early,Curzate,24.706072128122674,2020:III,909.146,0.6713883138681797,0.32861168613182035
2020,CCKK,IV,671.44,Early,Curzate,25.91215930793881,2020:IV,909.146,0.7385392445217821,0.2614607554782179
2020,CCKK,V,520.56,Early,Curzate,22.815784010197852,2020:V,909.146,0.5725813015731246,0.4274186984268754
2020,KKCC,I,613.78,Late,Curzate,24.77458375028731,2020:I,909.146,0.675117087904473,0.324882912095527
2020,KKCC,II,622.72,Late,Curzate,24.954358336771556,2020:II,909.146,0.6849504920001849,0.3150495079998151
2020,KKCC,III,813.72,Late,Curzate,28.52577781586332,2020:III,909.146,0.8950377607117009,0.10496223928829906
2020,KKCC,IV,578.72,Late,Curzate,24.05659992600783,2020:IV,909.146,0.6365534248624534,0.36344657513754663
2020,KKCC,V,642.67,Late,Curzate,25.350936866317188,2020:V,909.146,0.7068941622137699,0.2931058377862301
2020,FFKK,I,693.83,Early,FungiPhi,26.340652991146595,2020:I,909.146,0.7631667520948231,0.2368332479051769
2020,FFKK,II,676.39,Early,FungiPhi,26.007498918581156,2020:II,909.146,0.7439839145747768,0.25601608542522325
2020,FFKK,III,619.11,Early,FungiPhi,24.881921147692758,2020:III,909.146,0.6809797326282028,0.31902026737179723
2020,FFKK,IV,748.06,Early,FungiPhi,27.350685548994928,2020:IV,909.146,0.822816137342077,0.17718386265792296
2020,FFKK,V,593.89,Early,FungiPhi,24.36985843208778,2020:V,909.146,0.6532394136915303,0.34676058630846973
2020,KKFF,I,609.22,Late,FungiPhi,24.682382380961528,2020:I,909.146,0.6701013918556536,0.32989860814434635
2020,KKFF,II,878.61,Late,FungiPhi,29.641356244274654,2020:II,909.146,0.9664124354064144,0.033587564593585584
