policy,n_rollouts,mean_oracle_top_k_recall,mcse_oracle_top_k_recall,mean_simple_regret_field_efficacy,mcse_simple_regret_field_efficacy,mean_selected_mean_true_field_efficacy,mcse_selected_mean_true_field_efficacy
field_only,5000,0.324575,0.0022103316466534242,0.6632607293457682,0.0035864402421574046,3.0529423865032497,0.003939100693500228
lab_field,5000,0.648725,0.002035344786683607,0.2020199909644403,0.0017733036690910364,3.5141831248845774,0.0036143294463046294
multifidelity,5000,0.707625,0.0018610318543519297,0.14007968198348364,0.0013311866508786796,3.576123433865534,0.003466203080492519
